"#","English (found in UI)","Myanmar (fill in)","Coverage","Leftover EN (review)","Found in (file:line)"
"1006","Diagnostic Worksheet","","uncovered","Diagnostic Worksheet","src/components/microsoldering/MicroSolderingModule.tsx:153"
"1007","Direct hardware component cost","","uncovered","Direct hardware component cost","src/components/dashboard/DashboardOverview.tsx:1706"
"1008","Direct profit earned from service fees, micro-soldering, and technician labor charges.","","uncovered","Direct profit earned from service fees micro soldering and technician labor charges","src/components/finance/ShopFinancePlModule.tsx:625"
"1009","Direct Shop Communication Channel","","uncovered","Direct Shop Communication Channel","src/components/portal/CustomerFacingWebPortal.tsx:879"
"1010","Direct SMS","","uncovered","Direct SMS","src/components/common/CustomerNotificationModal.tsx:165"
"1011","Direct wallet transfers & bank QR payments","","uncovered","Direct wallet transfers bank QR payments","src/components/finance/ShopFinancePlModule.tsx:520"
"1012","Dismiss confirmation","","uncovered","Dismiss confirmation","src/components/qa/QualityAssuranceModule.tsx:340"
"1013","Display flickering / dead pixels / lines","","uncovered","Display flickering dead pixels lines","src/components/inventory/InventoryManagementModule.tsx:2184"
"1014","Dossier","","uncovered","Dossier","src/components/devices/DevicesManagementModule.tsx:504"
"1015","e.g. (555) 234-5678 or WO-2026-1001","","uncovered","e g or WO","src/components/portal/CustomerFacingWebPortal.tsx:279"
"1016","e.g. @applerepair_updates or -100123456789","","uncovered","e g applerepair updates or","src/components/settings/SystemManagementSettingsModule.tsx:3119"
"1017","e.g. 09-123456789 or 09-987654321","","uncovered","e g or","src/components/intake/CreateTicketSoloPage.tsx:674"
"1018","e.g. 09790000000 or Account #","","uncovered","e g or Account","src/components/settings/SystemManagementSettingsModule.tsx:2325"
"1019","e.g. 10 for +10% or -5 for -5%","","uncovered","e g for or","src/components/prices/PriceSettingsModal.tsx:1100"
"1020","e.g. 120000 or empty if N/A","","uncovered","e g or empty if N A","src/components/prices/PriceSettingsModal.tsx:705"
"1021","e.g. 1Z9999990199887766","","uncovered","e g Z","src/components/suppliers/SupplierRmaModule.tsx:468"
"1022","e.g. 1Z9999990199887766 or RMA-8891","","uncovered","e g Z or RMA","src/components/inventory/InventoryManagementModule.tsx:2205"
"1023","e.g. 250000","","uncovered","e g","src/components/pos/PosInvoicingModule.tsx:1088"
"1024","e.g. 3 Month, 12 Month","","uncovered","e g Month","src/components/prices/PriceSettingsModal.tsx:715"
"1025","e.g. 358921102938102","","uncovered","e g","src/components/intake/CreateTicketSoloPage.tsx:900"
"1026","e.g. 5000 or -2000","","uncovered","e g or","src/components/prices/PriceSettingsModal.tsx:1111"
"1027","e.g. 6 Month, 12 Month","","uncovered","e g Month","src/components/prices/PriceSettingsModal.tsx:1161"
"1028","e.g. 7890123456:AAFx...","","uncovered","e g AAFx","src/components/settings/SystemManagementSettingsModule.tsx:3109"
"1029","e.g. Alex Rivera","","uncovered","e g Alex Rivera","src/components/settings/SystemManagementSettingsModule.tsx:3388"
"1030","e.g. AppleRepair Pro Lab","","uncovered","e g AppleRepair Pro Lab","src/components/settings/SystemManagementSettingsModule.tsx:1310"
"1031","e.g. AppleRepair Pro Ltd","","uncovered","e g AppleRepair Pro Ltd","src/components/settings/SystemManagementSettingsModule.tsx:2339"
"1032","e.g. Audio IC U3101, Decoupling Cap C3010, Hydra U2","","uncovered","e g Audio IC U Decoupling Cap C Hydra","src/components/microsoldering/MicroSolderingModule.tsx:270"
"1033","e.g. BIN-A01","","uncovered","e g BIN A","src/components/settings/SystemManagementSettingsModule.tsx:2522"
"1034","e.g. C02M2MAX2023","","uncovered","e g C M MAX","src/components/devices/DevicesManagementModule.tsx:714"
"1035","e.g. C02M2MAX2023 or F2LXK09PN6T","","uncovered","e g C M MAX or F LXK PN T","src/components/intake/CreateTicketSoloPage.tsx:882"
"1036","e.g. Camera_Lens_Glass","","uncovered","e g Camera Lens Glass","src/components/prices/PriceSettingsModal.tsx:752"
"1037","e.g. Elena Rostova","","uncovered","e g Elena Rostova","src/components/common/WorkOrderStatusTimeline.tsx:477"
"1038","e.g. Google Pixel Series, Samsung Galaxy","","uncovered","e g Google Pixel Series Samsung Galaxy","src/components/prices/PriceSettingsModal.tsx:919"
"1039","e.g. July Air Conditioning Power Bill","","uncovered","e g July Air Conditioning Power Bill","src/components/finance/ShopFinancePlModule.tsx:1011"
"1040","e.g. MacBook Logic Boards, Display Repair","","uncovered","e g MacBook Logic Boards Display Repair","src/components/settings/SystemManagementSettingsModule.tsx:3461"
"1041","e.g. Mg Mg or Daw Thin","","uncovered","e g Mg or Daw Thin","src/components/settings/SystemManagementSettingsModule.tsx:3581"
"1042","e.g. MobileSentrix USA","","uncovered","e g MobileSentrix USA","src/components/inventory/InventoryManagementModule.tsx:2258; src/components/suppliers/SupplierRmaModule.tsx:518"
"1043","e.g. MS-US","","uncovered","e g MS US","src/components/inventory/InventoryManagementModule.tsx:2269; src/components/suppliers/SupplierRmaModule.tsx:531"
"1044","e.g. OEM / Original / Genuine","","uncovered","e g OEM Original Genuine","src/components/inventory/InventoryManagementModule.tsx:2326"
"1045","e.g. Rear Camera Lens Glass","","uncovered","e g Rear Camera Lens Glass","src/components/prices/PriceSettingsModal.tsx:762"
"1046","e.g. Replaced display panel and completed 21-point touch & TrueTone calibration. Moving to QA testing.","","uncovered","e g Replaced display panel and completed point touch TrueTone calibration Moving to QA testing","src/components/common/WorkOrderStatusTimeline.tsx:489"
"1047","e.g. Screen lines, battery non-genuine warning loop...","","uncovered","e g Screen lines battery non genuine warning loop","src/components/suppliers/SupplierRmaModule.tsx:457"
"1048","e.g. Service Advisor Alex","","uncovered","e g Service Advisor Alex","src/components/followup/CompletedDeviceFollowUpModule.tsx:718"
"1049","e.g. WO- generates vouchers like WO-2026-1001.","","uncovered","e g WO generates vouchers like","src/components/settings/SystemManagementSettingsModule.tsx:2008"
"1050","e.g. Yangon Electricity Supply Corp","","uncovered","e g Yangon Electricity Supply Corp","src/components/finance/ShopFinancePlModule.tsx:1047"
"1051","e.g. Yangon, Mandalay, Bago","","uncovered","e g Yangon Mandalay Bago","src/components/intake/CreateTicketSoloPage.tsx:717"
"1052","Electricity & Water","","uncovered","Electricity Water","src/components/finance/ShopFinancePlModule.tsx:996"
"1053","Empty","","uncovered","Empty","src/components/prices/PriceCatalogModule.tsx:721"
"1054","Empty Bin","","uncovered","Empty Bin","src/components/common/RecycleBinModal.tsx:87; src/components/common/RecycleBinModal.tsx:132"
"1055","Enable or disable Cash, KBZ Pay, UAB Pay, AYA Pay, MMQR, CB Bank, Yoma Bank, Wave Money, etc.","","uncovered","Enable or disable Cash KBZ Pay UAB AYA MMQR CB Bank Yoma Wave Money etc","src/components/settings/SystemManagementSettingsModule.tsx:2134"
"1056","Enabled)","","uncovered","Enabled","src/components/pos/PosInvoicingModule.tsx:798"
"1057","Enforce mandatory quality assurance inspection gates before marking tickets as completed.","","uncovered","Enforce mandatory quality assurance inspection gates before marking tickets as completed","src/components/settings/SystemManagementSettingsModule.tsx:3262"
"1058","Enter customer symptoms or intake notes","","uncovered","Enter customer symptoms or intake notes","src/components/intake/CreateTicketSoloPage.tsx:1078"
"1059","Enter details from customer follow-up call...","","uncovered","Enter details from customer follow up call","src/components/followup/CompletedDeviceFollowUpModule.tsx:747"
"1060","ERP Mode","","uncovered","ERP Mode","src/components/portal/CustomerFacingWebPortal.tsx:353"
"1061","Est. ~","","uncovered","Est","src/components/prices/QuickPriceCalculatorModal.tsx:578"
"1062","Est. Commission","","uncovered","Est Commission","src/components/dashboard/TechnicianDetailModal.tsx:141"
"1063","Est. Return:","","uncovered","Est Return","src/components/common/DeviceTagPrinterModal.tsx:246"
"1064","EUR (€ Euro)","","uncovered","EUR Euro","src/components/settings/SystemManagementSettingsModule.tsx:2088"
"1065","Event","","uncovered","Event","src/components/common/WorkOrderStatusTimeline.tsx:374"
"1066","Expected (e.g. 0.380V)","","uncovered","Expected e g V","src/components/microsoldering/MicroSolderingModule.tsx:197"
"1067","Expected Diode","","uncovered","Expected Diode","src/components/microsoldering/MicroSolderingModule.tsx:222"
"1068","Expired (","","uncovered","Expired","src/components/dashboard/DashboardOverview.tsx:1850; src/components/dashboard/DashboardOverview.tsx:1981"
"1069","Expires:","","uncovered","Expires","src/components/dashboard/DashboardOverview.tsx:1942"
"1070","Expiring Soon:","","uncovered","Expiring Soon","src/components/dashboard/DashboardOverview.tsx:1026"
"1071","Fail","","uncovered","Fail","src/components/intake/CreateTicketSoloPage.tsx:1093; src/components/intake/CreateTicketSoloPage.tsx:1169; src/components/pipeline/StatusPipelineView.tsx:1254; src/components/qa/QualityAssuranceModule.tsx:434"
"1072","Fail:","","uncovered","Fail","src/components/pipeline/StatusPipelineView.tsx:1199"
"1073","File Warranty Claim","","uncovered","File Warranty Claim","src/components/inventory/InventoryManagementModule.tsx:2225"
"1074","Find My","","uncovered","Find My","src/components/devices/DevicesManagementModule.tsx:757"
"1075","Find My OFF","","uncovered","Find My OFF","src/components/devices/DevicesManagementModule.tsx:319; src/components/devices/DevicesManagementModule.tsx:464"
"1076","Find My:","","uncovered","Find My","src/components/crm/CustomerRepairTimeline.tsx:349; src/components/devices/DevicesManagementModule.tsx:364"
"1077","Flag bad screens/batteries directly and monitor vendor credit refunds","","uncovered","Flag bad screens batteries directly and monitor vendor credit refunds","src/components/suppliers/SupplierRmaModule.tsx:228"
"1078","Flag Defective RMA","","uncovered","Flag Defective RMA","src/components/suppliers/SupplierRmaModule.tsx:236"
"1079","Flagged","","uncovered","Flagged","src/components/dashboard/DashboardOverview.tsx:980"
"1080","Flagged by monitor","","uncovered","Flagged by monitor","src/components/dashboard/DashboardOverview.tsx:1759"
"1081","Flagged Expiration (","","uncovered","Flagged Expiration","src/components/dashboard/DashboardOverview.tsx:1817"
"1082","folders available","","uncovered","folders available","src/components/devices/DeviceModelChooserModal.tsx:247"
"1083","follow-ups","","uncovered","follow ups","src/components/ai/AiDiagnosticAssistantModal.tsx:477"
"1084","for","","uncovered","for","src/components/intake/CreateTicketSoloPage.tsx:533"
"1085","Formats: QR Code, Code 128, Code 39, EAN, UPC, DataMatrix","","uncovered","Formats QR Code EAN UPC DataMatrix","src/components/common/CameraQrScannerModal.tsx:463"
"1086","FPC connector damaged / loose fit","","uncovered","FPC connector damaged loose fit","src/components/inventory/InventoryManagementModule.tsx:2186"
"1087","Fr","","uncovered","Fr","src/components/common/DateFilterSelector.tsx:319"
"1088","Freight Cargo","","uncovered","Freight Cargo","src/components/finance/ShopFinancePlModule.tsx:999"
"1089","from stock, not settled yet","","uncovered","from stock not settled yet","src/components/dashboard/DashboardOverview.tsx:646"
"1090","from the completion date. Physical, liquid, or unauthorized third-party tampering post-repair voids warranty coverage.","","uncovered","from the completion date Physical liquid or unauthorized third party tampering post repair voids warranty coverage","src/components/common/PrintableInvoiceModal.tsx:393"
